storm.id  storm.name  n.obs  storm.duration  storm.pdi  max.wind  storm.year
EP041984  DOUGLAS  48  1036800  63163041418.2518  125  1984
EP041985  DOLORES  39  842400  30622811727.7333  100  1985
EP041988  DANIEL  30  648000  6952110527.64444  55  1988
EP041989  UNNAMED  8  172800  534862564.388889  30  1989
EP041996  BORIS  19  410400  6304026197.04815  80  1996
EP041999  UNNAMED  9  194400  681168612.929629  30  1999
EP042000  UNNAMED  5  108000  207328169.288889  25  2000
EP042007  FOUR  9  194400  524937279.688889  30  2007
EP042008  DOUGLAS  19  410400  1228162080.84074  35  2008
EP042010  CELIA  50  1080000  68251771644.2555  140  2010
EP042011  DORA  33  712800  45637194256.8741  135  2011
EP051966  EILEEN  25  540000  11203440807.4778  75  1966
EP051967  ELEANOR  37  799200  4031871207.02222  55  1967
EP051968  ESTELLE  33  712800  2626524414.12963  45  1968
EP051969  EMILY  7  151200  1998658256.07037  55  1969
EP051970  FRANCESCA  35  756000  16249161466.4481  85  1970
EP051971  ELEANOR  19  410400  3499949467.72963  50  1971
EP051973  EMILY  29  626400  36205968173.0518  120  1973
EP051974  EILEEN  11  237600  826004248.922222  35  1974
EP051975  ELEANOR  9  194400  927830317.881481  35  1975
EP051976  ESTELLE  9  194400  867911006.544444  35  1976
EP051977  EMILY  7  151200  642202680.403703  35  1977
EP051978  EMILIA  17  367200  3930780344.33704  55  1978
EP051979  ENRIQUE  29  626400  38336963558.4556  125  1979
EP051980  ESTELLE  5  108000  532289342.429629  40  1980
EP051981  EUGENE  21  453600  2494187284.7963  45  1981
EP051984  ELIDA  44  950400  50158345239.2926  115  1984
EP051985  ENRIQUE  35  756000  2129524972.85556  35  1985
EP051988  EMILIA  25  540000  4447630355.01111  60  1988
EP051989  UNNAMED  20  432000  1186622926.35556  30  1989
EP051996  CRISTINA  10  216000  2272154990.02593  60  1996
EP051999  CALVIN  9  194400  867911006.544444  35  1999
EP052000  UNNAMED  7  151200  522364057.72963  30  2000
EP052007  FIVE  7  151200  388556515.848148  30  2007
EP052008  FIVE  7  151200  422008401.318518  30  2008
EP052010  DARBY  38  820800  27922399083.0593  105  2010
EP052011  EUGENE  43  928800  40127190835.8259  115  2011
EP061966  FRANCESCA  43  928800  21419131985.737  75  1966
EP061967  FRANCENE  15  324000  4019740303.5  45  1967
EP061968  FERNANDA  41  885600  14158970029.2556  75  1968
EP061969  FLORENCE  23  496800  4295442656.27778  60  1969
EP061970  GRETCHEN  29  626400  5441996840.69629  45  1970
EP061971  FRANCESCA  23  496800  17312269738.7593  100  1971
EP061973  FLORENCE  23  496800  8283201486.85555  80  1973
EP061974  FRANCESCA  23  496800  9063622946.78518  65  1974
EP061975  FRANCENE  11  237600  1473720976.38148  45  1975
EP061976  FERNANDA  21  453600  1947561420.02222  35  1976
EP061977  FLORENCE  17  367200  10042917703.8518  90  1977
EP061978  FICO  80  1728000  179876669824.374  120  1978
EP061979  FEFA  17  367200  17617380342.5  100  1979
EP061980  FRANK  18  388800  1743909282.1037  45  1980
EP061981  FERNANDA  27  583200  19786974057.2926  90  1981
EP061984  FAUSTO  27  583200  30252267765.6  95  1984
EP061985  FEFA  18  388800  3840717575.76296  60  1985
EP061988  FABIO  49  1058400  43818293934.8148  120  1988
EP061989  DALILIA  42  907200  28974479261.2593  80  1989
EP061996  UNNAMED  6  129600  409509894.659259  30  1996
EP061999  UNNAMED  6  129600  320182332.359259  30  1999
EP062000  DANIEL  54  1166400  62199185992.9407  110  2000
EP062007  COSME  42  907200  6170218655.16667  65  2007
EP062008  ELIDA  41  885600  24056316890.8407  90  2008
EP062010  SIX  18  388800  882615132.025926  30  2010
EP062011  FERNANDA  29  626400  5521399118.2963  60  2011
EP071966  GRETCHEN  15  324000  4019740303.5  45  1966
EP071967  GEORGETTE  21  453600  4073410361.50741  45  1967
EP071968  GWEN  15  324000  1355352766.25556  45  1968
EP071969  GLENDA  17  367200  4866697931.23333  65  1969
EP071970  HELGA  15  324000  2038726998.00741  50  1970
EP071971  GEORGETTE  29  626400  5615873124.51481  50  1971
EP071973  GLENDA  25  540000  4628491098.43333  50  1973
EP071974  GRETCHEN  17  367200  5454127744.21852  85  1974
EP071975  GEORGETTE  15  324000  1590618773.95926  40  1975
EP071976  GWEN  54  1166400  9317269111.34074  55  1976
EP071977  GLENDA  15  324000  1009805817.44074  35  1977
EP071978  GILMA  29  626400  28416090096.1  100  1978
EP071979  GUILLERMO  20  432000  5257092462.76667  65  1979
EP071980  GEORGETTE  15  324000  3078676272.68518  65  1980
EP071981  GREG  39  842400  9319474730.16296  65  1981
EP071984  GENEVIEVE  30  648000  28481155851.3556  100  1984
EP071985  GUILLERMO  18  388800  2184297840.27407  50  1985
EP071988  GILMA  25  540000  2025860888.21111  45  1988
EP071989  UNNAMED  14  302400  810564917.166667  30  1989
EP071996  DOUGLAS  33  712800  56887320662.7555  115  1996
EP071999  DORA  72  1555200  121532537929.541  120  1999
EP072000  EMILIA  16  345600  3523108465.36296  55  2000
EP072007  DALILA  34  734400  4252065486.10741  50  2007
EP072008  FAUSTO  33  712800  20654885063.837  80  2008
EP072010  ESTELLE  26  561600  4348745111.14815  55  2010
EP072011  GREG  26  561600  9222427501.98518  75  2011
EP081966  HELGA  33  712800  12681205418.3667  75  1966
EP081967  ILSA  25  540000  6783013084.60741  60  1967
EP081968  HYACINTH  19  410400  2649315808.62593  45  1968
EP081969  HEATHER  27  583200  4126345213.24074  55  1969
EP081970  IONE 2  17  367200  2335750332.73333  45  1970
EP081971  HILARY  49  1058400  36082821122.1444  85  1971
EP081973  HEATHER  7  151200  1209781923.98889  45  1973
EP081974  HELGA  15  324000  1488057498.72593  40  1974
EP081975  HILARY  19  410400  3778225042.46667  50  1975
EP081976  HYACINTH  31  669600  34169079190.7296  100  1976
EP081977  HEATHER  15  324000  7508661677.11852  75  1977
EP081978  HECTOR  32  691200  44451674139.9296  120  1978
EP081979  HILDA  12  259200  1116778330.31852  40  1979
EP081980  HOWARD  30  648000  25641054014.6074  90  1980
EP081981  HILARY  29  626400  10344719879.3593  75  1981
EP081984  HERNAN  19  410400  1983586527.45185  45  1984
EP081985  HILDA  11  237600  973045503.737037  35  1985
EP081988  HECTOR  41  885600  62405411352.8185  125  1988
EP081989  ERICK  10  216000  800272029.329629  35  1989
EP081996  ELIDA  29  626400  4313455209.99259  55  1996
EP081999  EUGENE  39  842400  32864823260.5222  95  1999
EP082000  FABIO  19  410400  2089456230.91852  45  2000
EP082007  ERICK  7  151200  709106451.344444  35  2007
EP082008  GENEVIEVE  40  864000  9551432309.63333  65  2008
EP082010  EIGHT  12  259200  617940873.359259  30  2010
EP082011  EIGHT  9  194400  435609717.388889  30  2011
EP091966  IONE  11  237600  1393583492.50741  45  1966
EP091967  JEWEL  17  367200  8813652813.6  75  1967
EP091968  IVA  21  453600  4073410361.50741  45  1968
EP091969  IRAH  15  324000  3353643419.18889  45  1969
EP091970  IONE 1  5  108000  807256488.933333  50  1970
EP091971  ILSA  36  777600  24611765230.9037  100  1971
EP091973  IRAH  21  453600  17232867461.1593  95  1973
EP091974  IONE  42  907200  31625265482.4333  100  1974
EP091975  ILSA  35  756000  38968505747.8852  90  1975
EP091976  IVA  37  799200  45839375982.2444  115  1976
EP091978  IVA  17  367200  7787672458.12963  65  1978
EP091979  IGNACIO  29  626400  34872303991.8815  125  1979
EP091980  ISIS  24  518400  17124056932.5963  85  1980
EP091981  IRWIN  15  324000  1652376100.98148  45  1981
EP091984  ISELLE  36  777600  40268718043.5852  115  1984
EP091985  IGNACIO  25  540000  43418709324.8555  115  1985
EP091988  IVA  36  777600  22004453227.1282  90  1988
EP091989  FLOSSIE  19  410400  1521141781.05926  35  1989
EP091996  FAUSTO  20  432000  24498911067.8333  105  1996
EP091999  UNNAMED  8  172800  501410678.918518  30  1999
EP092000  GILMA  25  540000  8273276202.15555  70  2000
EP092007  FLOSSIE  32  691200  72667420526.3444  120  2007
EP092008  HERNAN  41  885600  29218200141.1148  105  2008
EP092010  FRANK  30  648000  15406982679.4963  80  2010
EP092011  HILARY  50  1080000  96678154628.1926  125  2011
EP101966  JOYCE  23  496800  1944988198.06296  45  1966
EP101967  KATRINA  17  367200  13815996302.4  75  1967
EP101968  JOANNE  29  626400  10055048607.3741  75  1968
EP101969  JENNIFER  15  324000  8238353904.13704  65  1969
EP101970  JOYCE  25  540000  3385624892.11111  50  1970
EP101971  JEWEL  21  453600  4244713423.36667  60  1971
EP101973  JENNIFER  19  410400  1561578126.13333  35  1973
EP101974  JOYCE  23  496800  13410897645.3852  75  1974
EP101975  JEWEL  31  669600  8558168633.35926  65  1975
EP101976  JOANNE  41  885600  3333425246.65185  45  1976
EP101978  JOHN  50  1080000  23828770549.0148  90  1978
EP101979  JIMENA  13  280800  2927591383.36296  55  1979
EP101980  JAVIER  26  561600  23183994646.6518  100  1980
EP101981  JOVA  27  583200  13961567144.6667  75  1981
EP101984  JULIO  23  496800  3203293736.14074  55  1984
EP101985  JIMENA  37  799200  34393684707.4593  115  1985
EP101988  JOHN  19  410400  1369689288.6  35  1988
EP101989  GIL  27  583200  10430739013.4259  75  1989
EP101996  GENEVIEVE  46  993600  5290176745.1  45  1996
EP101999  FERNANDA  23  496800  3393712161.12593  55  1999
EP102000  HECTOR  25  540000  9358073059.55185  70  2000
EP102007  GIL  19  410400  1898302599.65926  40  2007
EP102008  ISELLE  41  885600  3197412085.94815  45  2008
EP102010  TEN  10  216000  559491974.57037  30  2010
EP102011  JOVA  30  648000  36820600618.1778  110  2011
EP111966  KIRSTEN  15  324000  1577385061.02593  45  1966
EP111967  LILY  27  583200  17715162776.9518  75  1967
EP111968  KATHLEEN  41  885600  5214450498.87037  45  1968
EP111970  KRISTEN  15  324000  2226572201.03333  45  1970
EP111971  KATRINA  19  410400  4967788793.91852  55  1971
EP111973  KATHERINE  39  842400  24783068292.763  85  1973
EP111974  KIRSTEN  27  583200  12320954344.0704  75  1974
EP111975  KATRINA  37  799200  50793931063.2296  115  1975
EP111976  KATHLEEN  17  367200  5685350117.41481  70  1976
EP111978  KRISTY  38  820800  34716072658.6407  90  1978
EP111980  KAY  58  1252800  63537629014.8926  120  1980
EP111981  KNUT  12  259200  3579719348.46667  55  1981
EP111984  KENNA  21  453600  3990699655.67407  50  1984
EP111985  KEVIN  36  777600  9268745497.25185  55  1985
EP111988  KRISTY  35  756000  14659645501.9  80  1988
EP111989  HENRIETTE  13  280800  1961897942.36667  45  1989
EP111996  HERNAN  19  410400  7408306020.70741  75  1996
EP111999  UNNAMED  4  86400  250705339.459259  30  1999
EP112000  ILEANA  14  302400  4658266952.53333  60  2000
EP112007  HENRIETTE  29  626400  13571172613.1333  75  2007
EP112008  JULIO  16  345600  2004539906.26296  45  2008
EP112010  ELEVEN  5  108000  307683825.7  30  2010
EP112011  IRWIN  56  1209600  15685625857.3704  85  2011
EP121966  LORRAINE  7  151200  1209781923.98889  45  1966
EP121967  MONICA  30  648000  3334528056.06296  50  1967
EP121968  LIZA  37  799200  21534559370.7667  75  1968
EP121970  LORRAINE  47  1015200  22467168529.4296  85  1970
EP121971  LILY  19  410400  5675424832.71481  75  1971
EP121973  LILLIAN  19  410400  10702397731.6963  75  1973
EP121974  LORRAINE  21  453600  3161754581.65555  45  1974
EP121975  LILY  23  496800  12711716478.7407  75  1975
EP121976  LIZA  26  561600  58224660875.2963  120  1976
EP121978  LANE  21  453600  3231599177.69259  45  1978
EP121980  LESTER  14  302400  1404979189.75556  35  1980
EP121981  LIDIA  7  151200  1181844085.57407  45  1981
EP121984  LALA  41  885600  3796972802.45555  45  1984
EP121985  LINDA  42  907200  4296913068.82592  45  1985
EP121988  LANE  38  820800  25564592562.1037  90  1988
EP121989  ISMAEL  45  972000  55846268578.6667  105  1989
EP121996  UNNAMED  19  410400  1207208702.02963  30  1996
EP121999  GREG  18  388800  5968772136.07037  65  1999
EP122000  JOHN  18  388800  5747842650.71111  60  2000
EP122007  IVO  28  604800  10310900390.7519  70  2007
EP122008  KARINA  7  151200  582283369.066666  35  2008
EP122010  GEORGETTE  11  237600  1106853045.61852  35  2010
EP122011  TWELVE  26  561600  1092884126.41111  30  2011
EP131966  MAGGIE  13  280800  1485484276.76667  45  1966
EP131967  NANETTE  33  712800  8399364078.15926  45  1967
EP131968  MADELINE  7  151200  765717334.448148  45  1968
EP131970  MAGGIE  27  583200  6447023817.35555  50  1970
EP131971  MONICA  29  626400  19442162314.7519  100  1971
EP131974  MAGGIE  27  583200  47969268558.237  120  1974
EP131975  MONICA  15  324000  1748320519.74815  45  1975
EP131976  MADELINE  40  864000  28635916772.0481  125  1976
EP131978  MIRIAM  38  820800  10123422790.863  80  1978
EP131980  MADELINE  6  129600  833356311.662963  45  1980
EP131981  MAX  13  280800  1626643881.38889  45  1981
EP131984  LOWELL  17  367200  7671877469.96296  75  1984
EP131985  MARTY  29  626400  10078575208.1444  65  1985
EP131988  MIRIAM  42  907200  5782397345.59259  60  1988
EP131989  JULIETTE  18  388800  3082352304.05556  55  1989
EP131999  HILARY  19  410400  5692334577.01852  65  1999
EP132000  KRISTY  13  280800  1071930747.6  35  2000
EP132007  THIRTEEN  24  518400  855412499.885185  30  2007
EP132008  LOWELL  21  453600  3243362478.07778  45  2008
EP132011  KENNETH  31  669600  32148732349.5741  125  2011
EP141967  OLIVIA  37  799200  14496429709.0556  110  1967
EP141968  NAOMI  19  410400  8485383212.22592  75  1968
EP141970  NORMA  25  540000  5117403270.69259  50  1970
EP141971  NANETTE  27  583200  13971860032.5037  85  1971
EP141974  NORMA  5  108000  1389172254.86296  65  1974
EP141975  NANETTE  23  496800  3810574118.52593  45  1975
EP141976  NAOMI  21  453600  2919504114.34815  45  1976
EP141978  NORMAN  30  648000  42457427121.5037  120  1978
EP141980  NEWTON  6  129600  629704173.744444  35  1980
EP141981  NORMA  16  345600  30563627622.6704  110  1981
EP141984  MARIE  23  496800  15301848182.3037  80  1984
EP141985  NORA  16  345600  1285140567.08148  40  1985
EP141988  UNNAMED  14  302400  977824344.518518  30  1988
EP141989  KIKO  18  388800  15078713078.1222  105  1989
EP141999  IRWIN  12  259200  2372510646.43704  50  1999
EP142000  LANE  37  799200  22237784171.9185  85  2000
EP142007  JULIETTE  25  540000  2941560302.57037  50  2007
EP142008  MARIE  74  1598400  10104675030.8741  70  2008
EP151967  PRISCILLA  27  583200  15989633651.7  75  1967
EP151968  ORLA  35  756000  6148530070.08148  50  1968
EP151970  ORLENE  9  194400  2443090448.74815  55  1970
EP151971  OLIVIA  45  972000  47355003716.2481  100  1971
EP151974  ORLENE  15  324000  6486724956.15555  90  1974
EP151975  OLIVIA  15  324000  16249161466.4481  100  1975
EP151978  OLIVIA  13  280800  5793793042.84074  65  1978
EP151981  OTIS  25  540000  15368016746.9704  75  1981
EP151984  NORBERT  47  1015200  117969360722.241  115  1984
EP151985  OLAF  38  820800  14036190581.4852  75  1985
EP151988  UNNAMED  10  216000  459503921.296296  25  1988
EP151989  LORENA  41  885600  10458309248.7037  65  1989
EP152000  MIRIAM  8  172800  661685646.666667  35  2000
EP152007  KIKO  50  1080000  7492119535.95185  60  2007
EP152008  NORBERT  35  756000  47088491441.8963  115  2008
EP161967  RAMONA  55  1188000  9632304999.78148  45  1967
EP161968  PAULINE  31  669600  12980434371.9148  75  1968
EP161970  PATRICIA  31  669600  37941790186.1407  95  1970
EP161971  PRISCILLA  27  583200  34803562205.2556  110  1971
EP161974  PATRICIA  43  928800  22656484145.0037  80  1974
EP161975  PRISCILLA  23  496800  4306470750.38889  55  1975
EP161978  PAUL  17  367200  1571503410.83333  40  1978
EP161984  ODILE  22  475200  15288246866.2333  90  1984
EP161985  PAULINE  53  1144800  24446343819.237  75  1985
EP161988  UNNAMED  5  108000  184904377.92963  25  1988
EP161989  MANUEL  13  280800  1525185415.56667  40  1989
EP162000  NORMAN  12  259200  1096192554.64444  45  2000
EP162008  ODILE  21  453600  3998786924.68889  50  2008
EP171968  REBECCA  21  453600  7435508652.84815  75  1968
EP171970  ROSALIE  11  237600  2281712671.58889  45  1970
EP171971  RAMONA  15  324000  2098278706.20741  50  1971
EP171974  ROSALIE  13  280800  3355113831.73704  55  1974
EP171978  ROSA  21  453600  10182974499.063  75  1978
EP171984  POLO  31  669600  24176155513.5148  100  1984
EP171985  RICK  45  972000  66785770333.7518  125  1985
EP171988  UNNAMED  12  259200  651760361.966667  30  1988
EP171989  NARDA  21  453600  2662917124.6963  45  1989
EP172000  OLIVIA  32  691200  8574343171.38889  55  2000
EP172008  SEVENTEEN  19  410400  928197921.018518  30  2008
EP181968  SIMONE  4  86400  930035936.703704  45  1968
EP181970  SELMA  29  626400  6097800837.17037  60  1970
EP181971  SHARON  15  324000  963120219.037037  35  1971
EP181978  SERGIO  12  259200  975986328.833333  35  1978
EP181984  RACHEL  36  777600  5238344702.77778  55  1984
EP181985  SANDRA  46  993600  52548868439.4444  110  1985
EP181988  UNNAMED  9  194400  513909185.577778  30  1988
EP181989  OCTAVE  33  712800  32494646901.5259  115  1989
EP182000  PAUL  16  345600  1545771191.24074  40  2000
EP182008  POLO  11  237600  1461957675.9963  40  2008
EP191968  TARA  33  712800  7955299488.61852  45  1968
EP191984  SIMON  33  712800  5831656165.95555  55  1984
EP191985  TERRY  37  799200  40272394074.9556  100  1985
EP191988  UNNAMED  13  280800  831518295.977778  30  1988
EP191989  PRISCILLA  19  410400  3425693634.04815  55  1989
EP192000  ROSA  20  432000  4766342274.82222  55  2000
EP201985  VIVIAN  15  324000  1370792098.01111  35  1985
EP201988  UNNAMED  7  151200  355104630.377778  30  1988
EP201989  UNNAMED  8  172800  467958793.448148  30  1989
EP211985  WALDO  11  237600  8027717306.61481  90  1985
EP211989  RAYMOND  44  950400  71392940450.237  125  1989
EP221985  XINA  45  972000  22857930664.1  100  1985
EP221989  UNNAMED  20  432000  1153171040.88519  30  1989
EP231989  UNNAMED  1  21600  23526600.7703704  20  1989
EP241989  UNNAMED  15  324000  800639632.466667  30  1989
