storm.id  storm.name  n.obs  storm.duration  storm.pdi  max.wind  storm.year
AL052005  EMILY  43  928800  105479308935.133  140  2005
AL052006  DEBBY  26  561600  3696617146.04444  45  2006
AL052007  ERIN  20  432000  1471147754.42222  50  2007
AL052008  EDOUARD  14  302400  2664755140.38148  55  2008
AL052009  DANNY  11  237600  2519551901.25185  50  2009
AL052010  FIVE  32  691200  1184049704.3963  30  2010
AL052011  EMILY  24  518400  3520167640.26667  45  2011
AL052012  ERNESTO  36  777600  14512604247.0852  80  2012
AL052013  ERIN  20  432000  2060415583.09259  40  2013
AL052014  DOLLY  11  237600  1289551804.72593  45  2014
AL052015  ERIKA  16  345600  3303649392.55185  45  2015
AL052016  EARL  18  388800  7628132696.65555  75  2016
AL061969  ANNA  46  993600  10223778447.2741  60  1969
AL061979  CLAUDETTE  57  1231200  3957247770.2037  45  1979
AL061980  BONNIE  24  518400  18056298488.1222  85  1980
AL061983  DEAN  17  367200  5291279554.51111  55  1983
AL061987  UNNAMED  14  302400  921948667.688889  30  1987
AL061990  EDOUARD  44  950400  3738156300.52963  40  1990
AL061995  UNNAMED  8  172800  378263628.011111  30  1995
AL061997  UNNAMED  8  172800  568314449.859259  30  1997
AL061998  FRANCES  21  453600  2861790421.83333  55  1998
AL061999  EMILY  18  388800  2956999634.32592  45  1999
AL062001  ERIN  62  1339200  49837427700.6592  105  2001
AL062003  UNNAMED  8  172800  635218220.8  30  2003
AL062004  FRANCES  68  1468800  142108755922.052  125  2004
AL062005  FRANKLIN  38  820800  10623363057.2333  60  2005
AL062006  ERNESTO  43  928800  9613557239.79259  65  2006
AL062007  FELIX  26  561600  65190372719.0111  150  2007
AL062008  FAY  52  1123200  11093527469.5037  60  2008
AL062009  ERIKA  11  237600  1729940362.8963  45  2009
AL062010  DANIELLE  51  1101600  56560889077.0667  115  2010
AL062011  FRANKLIN  15  324000  1381452588.98518  40  2011
AL062012  FLORENCE  21  453600  2777609303.45185  50  2012
AL062013  FERNAND  6  129600  1108323458.16667  50  2013
AL062014  EDOUARD  47  1015200  37632268344.7555  105  2014
AL062015  FRED  31  669600  9532684549.64444  75  2015
AL062016  FIONA  31  669600  4264563992.76667  45  2016
AL071969  BLANCHE  10  216000  6005532449.77407  75  1969
AL071979  UNNAMED  14  302400  776745428.559259  30  1979
AL071980  CHARLEY  22  475200  8863279237.1  70  1980
AL071987  CINDY  22  475200  2916930892.38889  45  1987
AL071990  FRAN  13  280800  979662360.203703  35  1990
AL071995  FELIX  69  1490400  72914449834.4333  120  1995
AL071997  ERIKA  67  1447200  71167599727.2333  110  1997
AL071998  GEORGES  64  1382400  111266117518.37  135  1998
AL071999  UNNAMED  8  172800  568314449.859259  30  1999
AL072001  FELIX  46  993600  37192982595.9963  100  2001
AL072003  UNNAMED  7  151200  260630624.159259  30  2003
AL072004  GASTON  27  583200  6031999875.64074  65  2004
AL072005  GERT  9  194400  840708374.403703  40  2005
AL072006  FLORENCE  62  1339200  28612390171.2778  80  2006
AL072007  GABRIELLE  14  302400  2305606875.4963  50  2007
AL072008  GUSTAV  47  1015200  47374854285.6481  125  2008
AL072009  FRED  48  1036800  25352117948.8963  105  2009
AL072010  EARL  53  1144800  81066417001.3667  125  2010
AL072011  GERT  19  410400  3589277030.02963  55  2011
AL072012  HELENE  38  820800  2871715706.53333  40  2012
AL072013  GABRIELLE  36  777600  3823807831.45926  55  2013
AL072014  FAY  13  280800  6148162466.94444  70  2014
AL072015  GRACE  17  367200  2758493940.32593  50  2015
AL072016  GASTON  53  1144800  60356391466.9741  105  2016
AL081969  DEBBIE  45  972000  77324217066.3296  105  1969
AL081979  UNNAMED  25  540000  1695018064.87778  30  1979
AL081980  UNNAMED  17  367200  970472281.777778  30  1980
AL081990  GUSTAV  41  885600  57366675153.4518  105  1990
AL081995  GABRIELLE  10  216000  2391993612.7  60  1995
AL081997  FABIAN  17  367200  1918520772.1963  40  1997
AL081998  HERMINE  14  302400  1366748463.5037  40  1998
AL081999  FLOYD  48  1036800  89644068600.9889  135  1999
AL082001  GABRIELLE  41  885600  18551092310.5741  70  2001
AL082003  ERIKA  10  216000  3242259668.66667  65  2003
AL082004  HERMINE  16  345600  2159668430.09259  50  2004
AL082005  HARVEY  46  993600  11919531718.4259  55  2005
AL082006  GORDON  57  1231200  59260934118.6037  105  2006
AL082007  INGRID  26  561600  2320678604.11481  40  2007
AL082008  HANNA  47  1015200  18018802968.1444  75  2008
AL082009  EIGHT  7  151200  433036495.42963  30  2009
AL082010  FIONA  24  518400  4487331493.81111  55  2010
AL082011  HARVEY  15  324000  2525433551.44444  55  2011
AL082012  GORDON  25  540000  19650960896.5889  95  2012
AL082013  EIGHT  4  86400  250705339.459259  30  2013
AL082014  GONZALO  35  756000  80546258562.4592  125  2014
AL082015  HENRI  13  280800  2146067114.02222  45  2015
AL082016  EIGHT  21  453600  1444312725.41852  30  2016
AL091969  CAMILLE  35  756000  80864970482.2704  150  1969
AL091979  DAVID  55  1188000  153484234997.663  150  1979
AL091980  GEORGES  32  691200  6650308352.13704  70  1980
AL091990  HORTENSE  26  561600  5335759534.09259  55  1990
AL091995  HUMBERTO  41  885600  51923207900.2074  95  1995
AL091997  GRACE  13  280800  1685460383.31481  40  1997
AL091998  IVAN  36  777600  19047724148.7111  80  1998
AL091999  GERT  49  1058400  132988154489.026  130  1999
AL092001  UNNAMED  3  64800  204754947.32963  30  2001
AL092003  UNNAMED  4  86400  317609110.4  30  2003
AL092004  IVAN  87  1879200  254456361869.585  145  2004
AL092005  IRENE  56  1209600  27404078659.837  90  2005
AL092006  HELENE  62  1339200  64527216659.7963  105  2006
AL092007  HUMBERTO  10  216000  3461718741.47778  80  2007
AL092008  IKE  58  1252800  112198359073.896  125  2008
AL092009  GRACE  37  799200  8233207460.21852  55  2009
AL092010  GASTON  30  648000  1940209357.28148  35  2010
AL092011  IRENE  37  799200  46211390356.9259  105  2011
AL092012  ISAAC  48  1036800  17372924256.3704  70  2012
AL092013  HUMBERTO  46  993600  17064872827.5333  80  2013
AL092014  HANNA  36  777600  1799049752.65926  35  2014
AL092015  NINE  19  410400  850266055.966667  30  2015
AL092016  HERMINE  45  972000  15030189464.0333  70  2016
AL101969  UNNAMED  17  367200  781156666.203704  25  1969
AL101980  EARL  27  583200  12271695523.7074  65  1980
AL101987  DENNIS  49  1058400  5630944853.13333  45  1987
AL101990  ISIDORE  55  1188000  38656043081.4037  85  1990
AL101995  IRIS  65  1404000  55480503457.3148  95  1995
AL101998  JEANNE  54  1166400  44039591023.3111  90  1998
AL101999  HARVEY  12  259200  2829073742.63704  50  1999
AL102001  HUMBERTO  26  561600  20776929305.3333  90  2001
AL102003  FABIAN  53  1144800  136661612637.437  125  2003
AL102004  UNNAMED  13  280800  742190733.677778  30  2004
AL102005  TEN  21  453600  1031862005.66296  30  2005
AL102006  ISAAC  24  518400  12881916731.1889  75  2006
AL102007  TEN  4  86400  228281548.1  30  2007
AL102008  JOSEPHINE  33  712800  5209671658.08889  55  2008
AL102009  HENRI  23  496800  1982116114.9037  45  2009
AL102010  HERMINE  22  475200  2768051621.88889  55  2010
AL102011  TEN  9  194400  681168612.929629  30  2011
AL102012  JOYCE  12  259200  945842871.596296  35  2012
AL102013  INGRID  21  453600  9465045572.42963  75  2013
AL102015  IDA  51  1101600  5423616683.84444  45  2015
AL102016  IAN  21  453600  5601904205.30741  55  2016
AL111969  UNNAMED  9  194400  413553529.166667  25  1969
AL111979  FREDERIC  68  1468800  48031025885.2592  115  1979
AL111980  DANIELLE  12  259200  1095089745.23333  50  1980
AL111987  UNNAMED  17  367200  912023382.988889  30  1987
AL111990  UNNAMED  37  799200  2937884271.2  30  1990
AL111995  JERRY  22  475200  1343589465.87037  35  1995
AL111998  KARL  26  561600  16970766424.4518  90  1998
AL111999  UNNAMED  10  216000  794022776  30  1999
AL112001  IRIS  21  453600  27457013511.5704  125  2001
AL112003  GRACE  12  259200  799536823.055555  35  2003
AL112004  JEANNE  64  1382400  54905572150.9889  105  2004
AL112005  JOSE  5  108000  645511108.637037  45  2005
AL112007  JERRY  8  172800  915331811.222222  35  2007
AL112008  KYLE  23  496800  11043165839.7296  75  2008
AL112009  IDA  29  626400  17360058146.5741  90  2009
AL112010  IGOR  60  1296000  137296095651.963  135  2010
AL112011  JOSE  13  280800  1654214116.66667  40  2011
AL112012  KIRK  22  475200  15897365264.3037  90  2012
AL112013  JERRY  33  712800  4317498844.5  45  2013
AL112015  JOAQUIN  74  1598400  91752640195.0333  135  2015
AL112016  JULIA  33  712800  3984450402.34444  45  2016
AL121969  EVE  12  259200  1802358180.89259  50  1969
AL121979  ELENA  13  280800  1305358739.61852  35  1979
AL121980  FRANCES  61  1317600  92574600809.4481  100  1980
AL121987  EMILY  28  604800  23425509907.6852  110  1987
AL121990  JOSEPHINE  62  1339200  13130048848.6889  75  1990
AL121995  KAREN  31  669600  4914486339.04815  45  1995
AL121998  LISA  21  453600  8606324644.31111  65  1998
AL121999  UNNAMED  12  259200  919375445.729629  30  1999
AL122001  JERRY  10  216000  1683622367.62963  45  2001
AL122003  HENRI  21  453600  1910433503.18148  50  2003
AL122004  KARL  48  1036800  89260658529.0592  125  2004
AL122005  KATRINA  31  669600  65371233462.4333  150  2005
AL122007  KAREN  19  410400  5702995067.99259  65  2007
AL122008  LAURA  34  734400  13870769169.8185  70  2008
AL122010  JULIA  51  1101600  39997794531.5889  120  2010
AL122011  KATIA  64  1382400  74877450586.2111  120  2011
AL122012  LESLIE  59  1274400  30775367029.6037  70  2012
AL122013  KAREN  13  280800  3234172399.65185  55  2013
AL122015  KATE  20  432000  10230395303.7407  75  2015
AL122016  KARL  54  1166400  10872230381.0074  60  2016
AL131969  FRANCELIA  27  583200  23113414844.3407  100  1969
AL131979  UNNAMED  21  453600  1265657600.81852  30  1979
AL131980  HERMINE  23  496800  7062391468.75555  60  1980
AL131987  FLOYD  20  432000  5914366871.78889  65  1987
AL131990  KLAUS  25  540000  10218632003.3556  70  1990
AL131995  LUIS  66  1425600  172630109183.963  120  1995
AL131998  MITCH  76  1641600  135160689028.915  155  1998
AL131999  IRENE  30  648000  26358615338.1037  95  1999
AL132001  KAREN  19  410400  9680461010.73333  70  2001
AL132003  ISABEL  57  1231200  221618373638.067  145  2003
AL132004  LISA  55  1188000  19879977650.963  65  2004
AL132005  LEE  26  561600  1432549425.03333  35  2005
AL132007  LORENZO  13  280800  3277917172.95926  70  2007
AL132008  MARCO  8  172800  2228410216.71852  55  2008
AL132010  KARL  19  410400  14798967090.837  110  2010
AL132011  LEE  20  432000  2944868730.8037  50  2011
AL132012  MICHAEL  42  907200  40553242871.6518  100  2012
AL132013  LORENZO  21  453600  2513670251.05926  45  2013
AL132016  LISA  30  648000  4626653082.74815  45  2016
AL141979  GLORIA  44  950400  38306084894.9444  85  1979
AL141980  IVAN  45  972000  47199875192.4185  90  1980
AL141987  UNNAMED  17  367200  903568510.837037  30  1987
AL141990  LILI  38  820800  18547048676.0667  65  1990
AL141995  UNNAMED  17  367200  1082223635.43704  30  1995
AL141998  NICOLE  35  756000  15220240285.8815  75  1998
AL141999  JOSE  32  691200  19242921414.4778  85  1999
AL142001  LORENZO  16  345600  1550550032.02222  35  2001
AL142003  UNNAMED  10  216000  526407692.237037  30  2003
AL142004  MATTHEW  12  259200  1405346792.89259  40  2004
AL142005  MARIA  51  1101600  38950493194.1704  100  2005
AL142007  MELISSA  31  669600  1822576353.42963  35  2007
AL142008  NANA  14  302400  1108691061.3037  35  2008
AL142010  LISA  37  799200  7466754919.49629  75  2010
AL142011  MARIA  41  885600  15405512266.9481  70  2011
AL142012  NADINE  96  2073600  47943536338.6444  80  2012
AL142013  MELISSA  26  561600  7501677217.51481  55  2013
AL142016  MATTHEW  47  1015200  176267909828.081  145  2016
AL151969  UNNAMED  21  453600  1299477089.42593  30  1969
AL151979  HENRI  39  842400  7784731633.03333  75  1979
AL151980  UNNAMED  9  194400  346282155.088889  25  1980
AL151990  MARCO  17  367200  2365893789.97037  55  1990
AL151995  MARILYN  77  1663200  54417027581.8667  100  1995
AL151999  KATRINA  16  345600  995469295.096296  35  1999
AL152001  MICHELLE  33  712800  50570428355.9111  120  2001
AL152003  JUAN  21  453600  21338994501.863  90  2003
AL152004  NICOLE  8  172800  1665242210.77778  45  2004
AL152005  NATE  29  626400  15456241499.8593  80  2005
AL152007  FIFTEEN  26  561600  2526536360.85556  45  2007
AL152008  OMAR  32  691200  21747401587.1111  115  2008
AL152010  MATTHEW  14  302400  2310753319.41481  50  2010
AL152011  NATE  22  475200  7027469170.73704  65  2011
AL152012  OSCAR  13  280800  2172534539.88889  45  2012
AL152013  UNNAMED  16  345600  4157959083.02593  55  2013
AL152016  NICOLE  62  1339200  60328453628.5592  120  2016
AL161969  GERDA  19  410400  16010219427.3741  110  1969
AL161979  UNNAMED  21  453600  1198753829.87778  30  1979
AL161980  JEANNE  35  756000  13821142746.3185  85  1980
AL161990  NANA  23  496800  12114361381.0556  75  1990
AL161995  NOEL  45  972000  18670563330.1111  65  1995
AL161999  LENNY  39  842400  58465440930.0555  135  1999
AL162001  NOEL  12  259200  5771001648.34444  65  2001
AL162003  KATE  58  1252800  57994173708.3741  110  2003
AL162004  OTTO  39  842400  4789501272.45555  45  2004
AL162005  OPHELIA  68  1468800  33057447304.3296  75  2005
AL162007  NOEL  53  1144800  19840644115.3  75  2007
AL162008  SIXTEEN  7  151200  321652744.907407  25  2008
AL162010  NICOLE  11  237600  1632893134.71852  40  2010
AL162011  OPHELIA  58  1252800  48671390549.9778  120  2011
AL162012  PATTY  11  237600  1399832745.83704  40  2012
AL162016  OTTO  36  777600  17968073735.2333  100  2016
AL171969  HOLLY  27  583200  10784373231.2556  75  1969
AL171980  UNNAMED  25  540000  1527391034.38889  30  1980
AL171995  OPAL  37  799200  30345638962.4074  130  1995
AL172001  OLGA  47  1015200  21498901866.4741  80  2001
AL172003  LARRY  41  885600  7098416576.18518  55  2003
AL172005  PHILIPPE  28  604800  10043652910.1259  70  2005
AL172007  OLGA  24  518400  3041548355.84444  50  2007
AL172008  PALOMA  35  756000  26906711615.4259  125  2008
AL172010  OTTO  47  1015200  14494591693.3704  75  2010
AL172011  PHILIPPE  65  1404000  28417560508.6481  80  2011
AL172012  RAFAEL  56  1209600  24158142959.8  80  2012
AL181969  UNNAMED  17  367200  781156666.203704  25  1969
AL181979  UNNAMED  9  194400  2805547141.86667  65  1979
AL181980  KARL  13  280800  11001994288.3815  75  1980
AL181995  PABLO  16  345600  3610598011.97778  50  1995
AL182003  MINDY  14  302400  1544668381.82963  40  2003
AL182005  RITA  34  734400  87021955424.5037  155  2005
AL182010  PAULA  20  432000  16694328865.4  90  2010
AL182011  RINA  30  648000  24652569179.1148  100  2011
AL182012  SANDY  40  864000  32355325312.5889  100  2012
AL191969  UNNAMED  8  172800  367603137.037037  25  1969
AL191995  ROXANNE  54  1166400  33927563929.6963  100  1995
AL192003  NICHOLAS  80  1728000  13258342343.5148  60  2003
AL192005  NINETEEN  9  194400  614264841.988889  30  2005
AL192010  RICHARD  28  604800  9873452657.67778  85  2010
AL192011  SEAN  28  604800  8205637224.94074  55  2011
AL192012  TONY  20  432000  2504112569.4963  45  2012
AL201969  INGA  99  2138400  71342578820.463  100  1969
AL201979  UNNAMED  11  237600  627866158.059259  30  1979
AL201995  SEBASTIEN  19  410400  3145212440.48889  55  1995
AL202003  ODETTE  22  475200  5989357911.74444  55  2003
AL202005  STAN  16  345600  4105391834.42963  70  2005
AL202010  SHARY  9  194400  4162737923.80741  65  2010
AL202011  UNNAMED  14  302400  1477764610.88889  40  2011
AL211969  UNNAMED  19  410400  9934842381.56296  65  1969
AL211995  TANYA  29  626400  18925312304.0778  75  1995
AL212003  PETER  15  324000  3031990674.28148  60  2003
AL212005  UNNAMED  7  151200  1197283417.32963  45  2005
AL212010  TOMAS  51  1101600  25773758747.0778  85  2010
AL221969  UNNAMED  23  496800  9701046786.40741  60  1969
AL222005  TAMMY  8  172800  1035170433.8963  45  2005
AL231969  UNNAMED  10  216000  2498966125.57778  50  1969
AL232005  TWENTY-TWO  27  583200  2798195079.12593  40  2005
AL241969  JENNY  22  475200  1367116066.64074  40  1969
AL242005  VINCE  14  302400  4291766624.90741  65  2005
AL251969  KARA  48  1036800  26566311110.5296  90  1969
AL252005  WILMA  45  972000  136618235467.267  160  2005
AL261969  LAURIE  42  907200  18861716961.3704  90  1969
AL262005  ALPHA  10  216000  1264554791.40741  45  2005
AL271969  UNNAMED  14  302400  5531324402.9963  60  1969
AL272005  BETA  18  388800  14257487669.9815  100  2005
AL281969  UNNAMED  31  669600  16875924815.0963  65  1969
AL282005  GAMMA  33  712800  3129773108.73333  45  2005
AL291969  MARTHA  17  367200  10705338556.7926  80  1969
AL292005  DELTA  42  907200  13425601770.8667  60  2005
AL302005  EPSILON  43  928800  24830121494.3037  75  2005
AL312005  ZETA  36  777600  9448503431.26296  55  2005
